14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Cleaning Logfile (VWM*) in E:\appservices\invoke-ctxdevice\Files\processed\eucweb and keep the last 20 Logs
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Cleaning Logfile (job*) in E:\appservices\invoke-ctxdevice\Files\processed\eucweb and keep the last 20 Logs
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Processing file E:\appservices\invoke-ctxdevice\Files\request\eucweb_20190514-131420.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | User: eucweb
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | VM: 
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Action: ReInstall
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | PreFix: VDW
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Model: persistent
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | DesktopGroupName: VDI002 DEV
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Environemnt: DEV
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Move File from E:\appservices\invoke-ctxdevice\Files\request\eucweb_20190514-131420.json to E:\appservices\invoke-ctxdevice\Files\processed\eucweb\Job00000221.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | VM is not specified, check backend to retrieve User to VM association
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Read Global Config from E:\appservices\ntx-config\config\Global\Global.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Read PreFix Config from E:\appservices\ntx-config\config\Global\VDW.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Check Config-Files in Folder E:\appservices\ntx-config\config\persistent\VDW
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json:8:					Model: "Persistent",
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Lookup for AssociatedUser 
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Broker: APW041VDC1010
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | User eucweb is associated to VM VDW041VD78001
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\eucweb\Job00000221.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Action: ReInstall
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Remark: get associated VM to user
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | User: eucweb
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | VM: VDW041VD78001
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | ENV: DEV
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Date: 14.05.2019
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Time: 13:14:20
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Outfile: E:\appservices\invoke-ctxdevice\Files\processed\eucweb\Job00000221.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | split up VM name VDW041VD78001 in different components to trigger the action
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | PreFix: VDW
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Locationx: 041
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | ProductShortname: VD
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Version: 7
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | DataCenter: 8
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | DTAP identifier: 0
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | DTAP Stage: DEV
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Model: persistent
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Read Global Config from E:\appservices\ntx-config\config\Global\Global.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Read PreFix Config from E:\appservices\ntx-config\config\Global\VDW.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Check Config-Files in Folder E:\appservices\ntx-config\config\persistent\VDW
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json:8:					Model: "Persistent",
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Starting Script E:\appservices\invoke-ctxdevice\Invoke-CTXDevice.ps1 -VMName VDW041VD78001 -PreFix VDW -Model persistent -Action ReInstall -DTAP DEV -Job E:\appservices\invoke-ctxdevice\Files\processed\eucweb\Job00000221.json -User eucweb -FileWatcher 
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Checking Prerequisites
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Logfile would be set to E:\appservices\invoke-ctxdevice\Files\processed\eucweb\VWM00000221.log
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Cleaning Logfile () in E:\appservices\invoke-ctxdevice\Files\processed\eucweb and keep the last 30 Logs
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Citrix Provisioning Server Powershell SnapIn already loaded
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Nutanix Powershell SnapIn already loaded
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\eucweb\Job00000221.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Action: ReInstall
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Remark: Backend process starting...
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | User: eucweb
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | VM: VDW041VD78001
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | ENV: DEV
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Date: 14.05.2019
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Time: 13:14:20
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Outfile: E:\appservices\invoke-ctxdevice\Files\processed\eucweb\Job00000221.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Read Global Config from E:\appservices\ntx-config\config\Global\Global.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Read PreFix Config from E:\appservices\ntx-config\config\Global\VDW.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Check Config-Files in Folder E:\appservices\ntx-config\config\persistent\VDW
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json:8:					Model: "Persistent",
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Connect to Cluster NTXCluster01.euclab.com
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Location: 041
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | DataCenter: 1
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | DTAP Stage: DEV
14.05.2019 13:14:20 | FC-SVC-CTX-Maint | INFORMATION... | Searchstring: VDW041VD78
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | List all Devices based on searchstring VDW041VD78
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | VM: VDW041VD78003 - Host  - Cluster: NTXCluster01.euclab.com
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | VM: VDW041VD78002 - Host VSL041AHV1003 - Cluster: NTXCluster01.euclab.com
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | VM: VDW041VD78001 - Host VSL041AHV1004 - Cluster: NTXCluster01.euclab.com
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\eucweb\Job00000221.json
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | Action: ReInstall
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | Remark: VM runs on NTXCluster01.euclab.com
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | User: eucweb
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | VM: VDW041VD78001
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | ENV: DEV
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | Date: 14.05.2019
14.05.2019 13:14:22 | FC-SVC-CTX-Maint | INFORMATION... | Time: 13:14:22
