15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Cleaning Logfile (VWM*) in E:\appservices\invoke-ctxdevice\Files\processed\matthias-ctx-maint and keep the last 20 Logs
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Cleaning Logfile (job*) in E:\appservices\invoke-ctxdevice\Files\processed\matthias-ctx-maint and keep the last 20 Logs
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Processing file E:\appservices\invoke-ctxdevice\Files\request\matthias-ctx-maint_20190515-095832.json
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | User: matthias-ctx-maint
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | VM: VDW041VD78003
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Action: ReInstall_Finished
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | PreFix: 
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Model: 
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | DesktopGroupName: 
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Environemnt: 
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Move File from E:\appservices\invoke-ctxdevice\Files\request\matthias-ctx-maint_20190515-095832.json to E:\appservices\invoke-ctxdevice\Files\processed\matthias-ctx-maint\Job00000227.json
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | split up VM name VDW041VD78003 in different components to trigger the action
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | PreFix: VDW
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Locationx: 041
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | ProductShortname: VD
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Version: 7
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | DataCenter: 8
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | DTAP identifier: 0
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | DTAP Stage: DEV
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Model: persistent
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Read Global Config from E:\appservices\ntx-config\config\Global\Global.json
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Read PreFix Config from E:\appservices\ntx-config\config\Global\VDW.json
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Check Config-Files in Folder E:\appservices\ntx-config\config\persistent\VDW
15.05.2019 09:58:35 | matthias-CTX-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\persistent\VDW\VDI002-DEV.json
