14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | Cleaning Logfile (VWM*) in E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint and keep the last 20 Logs
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | Cleaning Logfile (job*) in E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint and keep the last 20 Logs
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | Processing file E:\appservices\invoke-ctxdevice\Files\request\matthias-maint_20190514-143745.json
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | User: matthias-maint
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | VM: VDW041VD7XXXZ
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | Action: ReInstall_Finished
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | PreFix: 
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | Model: 
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | DesktopGroupName: 
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | Environemnt: 
14.05.2019 14:37:46 | matthias-Maint | INFORMATION... | Move File from E:\appservices\invoke-ctxdevice\Files\request\matthias-maint_20190514-143745.json to E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000222.json
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | split up VM name VDW041VD7XXXZ in different components to trigger the action
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | PreFix: VDW
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Locationx: 041
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | ProductShortname: VD
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Version: 7
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | DataCenter: X
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | DTAP identifier: X
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | DTAP Stage: MAINT
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Model: Non-Persistent
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Read Global Config from E:\appservices\ntx-config\config\Global\Global.json
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Read PreFix Config from E:\appservices\ntx-config\config\Global\VDW.json
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Check Config-Files in Folder E:\appservices\ntx-config\config\Non-Persistent\VDW
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-MAINT.json
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-MAINT.json:9:					Model: "NON-Persistent",
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-PROD.json
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-PROD.json:10:					Model: "NON-Persistent",
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-UAT.json
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-UAT.json:10:					Model: "NON-Persistent",
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Starting Script E:\appservices\invoke-ctxdevice\Invoke-CTXDevice.ps1 -VMName VDW041VD7XXXZ -PreFix VDW -Model Non-Persistent -Action ReInstall_Finished -DTAP MAINT -Job E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000222.json -User matthias-maint -FileWatcher 
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Checking Prerequisites
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Logfile would be set to E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\VWM00000222.log
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Cleaning Logfile () in E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint and keep the last 30 Logs
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Citrix Provisioning Server Powershell SnapIn already loaded
14.05.2019 14:37:47 | matthias-Maint | INFORMATION... | Nutanix Powershell SnapIn already loaded
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000222.json
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Action: ReInstall_Finished
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Remark: Backend process starting...
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | User: matthias-maint
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | VM: VDW041VD7XXXZ
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | ENV: MAINT
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Date: 14.05.2019
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Time: 14:37:48
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Outfile: E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000222.json
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Read Global Config from E:\appservices\ntx-config\config\Global\Global.json
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Read PreFix Config from E:\appservices\ntx-config\config\Global\VDW.json
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Check Config-Files in Folder E:\appservices\ntx-config\config\Non-Persistent\VDW
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Test E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-MAINT.json
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Success: E:\appservices\ntx-config\config\Non-Persistent\VDW\VDI001-MAINT.json:9:					Model: "NON-Persistent",
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Connect to Cluster NTXCluster01CL1001.euclab.com
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Location: 041
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | DataCenter: 1
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | DTAP Stage: MAINT
14.05.2019 14:37:48 | matthias-Maint | INFORMATION... | Searchstring: VDW041VD7XXX
14.05.2019 14:37:54 | matthias-Maint | WARNING........... | No Devices found for VDW041VD7XXX
14.05.2019 14:37:54 | matthias-Maint | INFORMATION... | Connect to Cluster NTXCluster01CL2001.euclab.com
14.05.2019 14:37:54 | matthias-Maint | INFORMATION... | Location: 041
14.05.2019 14:37:54 | matthias-Maint | INFORMATION... | DataCenter: 2
14.05.2019 14:37:54 | matthias-Maint | INFORMATION... | DTAP Stage: MAINT
14.05.2019 14:37:54 | matthias-Maint | INFORMATION... | Searchstring: VDW041VD7XXX
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | List all Devices based on searchstring VDW041VD7XXX
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | VM: VDW041VD7XXXZ - Host VSL041AHV2001 - Cluster: NTXCluster01CL2001.euclab.com
